"Dublin Core:Title","Dublin Core:Description","Dublin Core:Rights","Dublin Core:Provenance","Dublin Core:Is Part Of","Dublin Core:Subject","Dublin Core:Spatial Coverage","Dublin Core:Temporal Coverage","Dublin Core:Date Issued","Dublin Core:Creator","Dublin Core:Publisher","Dublin Core:Format","Dublin Core:Language","Dublin Core:Type","Dublin Core:Identifier","Dublin Core:Relation","Dublin Core:References","Dublin Core:Source","Dublin Core:Date","Dublin Core:Contributor","Dublin Core:Coverage","Dublin Core:Alternative Title","Dublin Core:Abstract","Dublin Core:Table Of Contents","Dublin Core:Date Available","Dublin Core:Date Created","Dublin Core:Date Accepted","Dublin Core:Date Copyrighted","Dublin Core:Date Submitted","Dublin Core:Date Modified","Dublin Core:Date Valid","Dublin Core:Access Rights","Dublin Core:License","Dublin Core:Conforms To","Dublin Core:Has Format","Dublin Core:Has Part","Dublin Core:Has Version","Dublin Core:Is Format Of","Dublin Core:Is Referenced By","Dublin Core:Is Replaced By","Dublin Core:Is Required By","Dublin Core:Is Version Of","Dublin Core:Replaces","Dublin Core:Requires","Dublin Core:Extent","Dublin Core:Medium","Dublin Core:Bibliographic Citation","Dublin Core:Accrual Method","Dublin Core:Accrual Periodicity","Dublin Core:Accrual Policy","Dublin Core:Audience","Dublin Core:Audience Education Level","Dublin Core:Mediator","Dublin Core:Instructional Method","Dublin Core:Rights Holder","Item Type Metadata:Text","Item Type Metadata:Interviewer","Item Type Metadata:Interviewee","Item Type Metadata:Location","Item Type Metadata:Transcription","Item Type Metadata:Local URL","Item Type Metadata:Original Format","Item Type Metadata:Physical Dimensions","Item Type Metadata:Duration","Item Type Metadata:Compression","Item Type Metadata:Producer","Item Type Metadata:Director","Item Type Metadata:Bit Rate/Frequency","Item Type Metadata:Time Summary","Item Type Metadata:Email Body","Item Type Metadata:Subject Line","Item Type Metadata:From","Item Type Metadata:To","Item Type Metadata:CC","Item Type Metadata:BCC","Item Type Metadata:Number of Attachments","Item Type Metadata:Standards","Item Type Metadata:Objectives","Item Type Metadata:Materials","Item Type Metadata:Lesson Plan Text","Item Type Metadata:URL","Item Type Metadata:Event Type","Item Type Metadata:Participants","Item Type Metadata:Birth Date","Item Type Metadata:Birthplace","Item Type Metadata:Death Date","Item Type Metadata:Occupation","Item Type Metadata:Biographical Text","Item Type Metadata:Bibliography","Item Type Metadata:Notes","Item Type Metadata:Stage",GeoBlacklight:UUID,"GeoBlacklight:Layer ID",GeoBlacklight:Slug,"GeoBlacklight:Geometry Type","GeoBlacklight:Layer Modified Date","GeoBlacklight:GeoRSS Box","GeoBlacklight:GeoRSS Polygon","GeoBlacklight:GeoRSS Point","GeoBlacklight:Apache Solr Geometry","GeoBlacklight:Apache Solr Bounding Box","GeoBlacklight:Apache Solr Year","GeoBlacklight:Information Page",GeoBlacklight:Thumbnail,"GeoBlacklight:Download File","GeoBlacklight:IIIF Server","GeoBlacklight:Esri Rest Service","GeoBlacklight:Web Map Service",tags,file,itemType,collection,public,featured
"Algerien, Marokko und Tunis",,Public,"Michigan State","Michigan State University Map Library",,"6255146: Africa (parks,area, ...)",1892,,,,JPEG,German,Image,4e7be7c5-3d63-402a-8f49-82cae5773b0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e7be7c5-3d63-402a-8f49-82cae5773b0f,,,"Image",,"-18.6,9.1,12.6,37.5",,"23.3,-3",,,,https://lib.msu.edu/branches/map/MSU-Scanned/Africa/84_g1019m4_1892/,https://archive.lib.msu.edu/maps/public/images/84_g1019m4_1892_th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Africa/84_g1019m4_1892.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Waverly Township",,Public,"Michigan State","Michigan State University Map Library",,"5013104: Van Buren County (country, state, region,...), Michigan, United States",1906,,"Orton, M. K.",,JPEG,English,Image,48741a65-7eb8-4232-98fe-bdc3e8be86be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48741a65-7eb8-4232-98fe-bdc3e8be86be,,,"Image",,"-85.995171,42.243991,-85.87869,42.332255",,"42.288123,-85.9369305",,,,https://lib.msu.edu/branches/map/MiJPEGs/40_g1413v3k3_1895_l/,https://archive.lib.msu.edu/maps/public/images/40_g1413v3k3_1895_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/40_g1413v3k3_1895_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Map of Africa",,Public,"Michigan State","Michigan State University Map Library",,"6255146: Africa (parks,area, ...)",1867,,,,JPEG,English,Image,47f44689-4ea5-442e-8699-471faec81370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47f44689-4ea5-442e-8699-471faec81370,,,"Image",,"-18.6,-35.3,52.3,37.8",,"1.25,16.85",,,,https://lib.msu.edu/branches/map/MSU-Scanned/Africa/30_g1019m67_1867_l,https://archive.lib.msu.edu/maps/public/images/30_g1019m67_1867_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Africa/30_g1019m67_1867_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Map of the city of Detroit, Michigan",,Public,"Michigan State","Michigan State University Map Library",,"4990729: Detroit (city, village,...), Michigan, United States",1904,,,,JPEG,English,Image,4055df09-4d50-48de-b255-4d82d249507b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4055df09-4d50-48de-b255-4d82d249507b,,,"Image",,"-83.1283,42.2961,-82.9752,42.3963",,"42.3462,-83.05175",,,,https://lib.msu.edu/branches/map/MSU-Scanned/Michigan/843-d-B-1904-Detroit300/,https://archive.lib.msu.edu/maps/public/images/843-d-B-1904-detroit-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/843-d-B-1904-detroit300.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Michigan [Lower Peninsula]",,Public,"Michigan State","Michigan State University Map Library",,"5001836: Michigan (country, state, region,...), Michigan, United States",1873,,,,JPEG,English,Image,3e65e330-e775-4b00-9a29-6d216780949f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e65e330-e775-4b00-9a29-6d216780949f,,,"Image",,"-87.02,41.7,-82.12,45.81",,"43.755,-84.57",,,,https://lib.msu.edu/branches/maps/MSU-Scanned/Michigan/10_g1413c2b4_1873_l,https://archive.lib.msu.edu/maps/public/images/10_g1413c2b4_1873_th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/10_g1413c2b4_1873_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Federal map of Detroit and environs",,Public,"Michigan State","Michigan State University Map Library",,"4990729: Detroit (city, village,...), Michigan, United States",1919,,,,JPEG,English,Image,3d47cce2-c469-478f-aa80-b5329a072d35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3d47cce2-c469-478f-aa80-b5329a072d35,,,"Image",,"-83.10388,42.255,-83.0072,42.36638",,"42.31069,-83.05554",,,,https://lib.msu.edu/branches/map/MSU-Scanned/Michigan/843-d-1919-detroit300/,https://archive.lib.msu.edu/maps/public/images/843-d-a-1919-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/843-d-1919-detroit300.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"A Map of the Roads from London thro Oxford, Worcester, & c. to Aberistwith/The Road from Bristol to Exeter",,Public,"Michigan State","Michigan State University Map Library",,"2635167: Great Britain (country, state, region,...), United Kingdom",1765,,,,JPEG,English,Image,3c966198-2a62-4b7d-a7c9-e4772640fcfd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3c966198-2a62-4b7d-a7c9-e4772640fcfd,,,"Image",,"-1.2964,51.469,-0.0824,51.7862",,"51.6276,-0.6894",,,,https://lib.msu.edu/branches/map/scanned/Europe/621-c-D-1765-400,https://archive.lib.msu.edu/maps/public/images/621-c-D-1765-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Magazines/621-c-D-1765-400.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Michigan [Upper Peninsula]",,Public,"Michigan State","Michigan State University Map Library",,"5001836: Michigan (country, state, region,...), Michigan, United States",1873,,,,JPEG,English,Image,3a874943-928f-4c4e-8a02-ab49aca39efa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a874943-928f-4c4e-8a02-ab49aca39efa,,,"Image",,"-90.51,45.09,-83.77,48.22",,"46.655,-87.14",,,,https://lib.msu.edu/branches/maps/MSU-Scanned/Michigan/11_g1413c2b4_1873_l,https://archive.lib.msu.edu/maps/public/images/11_g1413c2b4_1873_th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/10_g1413c2b4_1873_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Map of the District of Columbia, showing location of schools.",,Public,"Michigan State","Michigan State University Map Library",,"4138106: District Of Columbia (country, state, region,...), District Of Columbia, United States",1906,,,,JPEG,English,Image,3a1fb630-8e6b-4a10-b3a2-97435190ef77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a1fb630-8e6b-4a10-b3a2-97435190ef77,,,"Image",,"-77.119759,38.791645,-76.909393,38.995549",,"38.893597,-77.014576",,,,https://lib.msu.edu/branches/maps/MSU-Scanned/UnitedStates/822-C-1906-schools,https://archive.lib.msu.edu/maps/public/images/822-C-1906-schools-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/UnitedStates/822-C-1906-schools.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"South America upon the Globular Projection",,Public,"Michigan State","Michigan State University Map Library",,"6255150: South America (parks,area, ...)",1763,,"Bowen, Emanuel",,JPEG,English,Image,366e6b7c-ac19-4c57-a481-a8bffc3023c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366e6b7c-ac19-4c57-a481-a8bffc3023c0,,,"Image",,"-110.0,-56.1,-28.7,17.7",,"-19.2,-69.35",,,,https://lib.msu.edu/branches/map/scanned/SAmerica/250-A-1763-400,https://archive.lib.msu.edu/maps/public/images/250-A-1763-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Magazines/250-A-1763-400.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
Aquatorial-Afrika,,Public,"Michigan State","Michigan State University Map Library",,"6255146: Africa (parks,area, ...)",1892,,,,JPEG,German,Image,2f0f46f7-5728-4aa3-ada1-a7bc909ca16c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2f0f46f7-5728-4aa3-ada1-a7bc909ca16c,,,"Image",,"7.9,-18.8,42,4.7",,"-7.05,24.95",,,,https://lib.msu.edu/branches/map/MSU-Scanned/Africa/86_g1019m4_1892/,https://archive.lib.msu.edu/maps/public/images/86_g1019m4_1892_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Africa/86_g1019m4_1892.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"A Compleat Map of Germany Comprehending in One View the Different Seats of the Present War 1759",,Public,"Michigan State","Michigan State University Map Library",,"2921044: Germany (country, state, region,...), Germany",1759,,,,JPEG,English,Image,2d58c839-e596-4ed0-bddc-b8bf8db85653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d58c839-e596-4ed0-bddc-b8bf8db85653,,,"Image",,"1.4166,44.95,19.0666,55.05",,"50,10.2416",,,,https://lib.msu.edu/branches/map/scanned/Europe/640-B-1759-400,https://archive.lib.msu.edu/maps/public/images/640-B-1759-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Magazines/640-B-1759-400.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Region along the Rivers Dnipro and Donets, showing Old Limits between the Russian and Turkish Empires",,Public,"Michigan State","Michigan State University Map Library",,"690791: Ukraine (country, state, region,...), Ukraine",1739,,,,JPEG,English,Image,2929d77d-bccf-423a-a5d3-cbb454724d4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2929d77d-bccf-423a-a5d3-cbb454724d4a,,,"Image",,"22.14,44.29,40.23,52.38",,"48.335,31.185",,,,https://lib.msu.edu/branches/map/scanned/Europe/686-c-B-1739-400,https://archive.lib.msu.edu/maps/public/images/686-c-B-1739-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Magazines/686-c-B-1739-400.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Outline Map of Van Buren County",,Public,"Michigan State","Michigan State University Map Library",,"5013104: Van Buren County (country, state, region,...), Michigan, United States",1906,,"Orton, M. K.",,JPEG,English,Image,252737ee-1346-4b01-9218-4efa035a1e77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252737ee-1346-4b01-9218-4efa035a1e77,,,"Image",,"-86.529324,42.06928,-85.762943,42.420699",,"42.2449895,-86.1461335",,,,https://lib.msu.edu/branches/map/MiJPEGs/5_g1413v3k3_1895_l/,https://archive.lib.msu.edu/maps/public/images/5_g1413v3k3_1895_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/5_g1413v3k3_1895_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
Africa,,Public,"Michigan State","Michigan State University Map Library",,"6255146: Africa (parks,area, ...)",1841,,"Goodrich, Samuel G., George W. Boynton and Charles D. Strong",,JPEG,English,Image,24c98017-bb9d-43e5-982c-ab20e45439ad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24c98017-bb9d-43e5-982c-ab20e45439ad,,,"Image",,"-18.6,-35.3,52.3,37.16",,"0.93,16.85",,,,https://lib.msu.edu/branches/map/MSU-Scanned/Africa/300-A-1841/,https://archive.lib.msu.edu/maps/public/images/300-A-1841-thumb.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Africa/300-a-1841-300.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Map of the City of Detroit, Michigan",,Public,"Michigan State","Michigan State University Map Library",,"4990729: Detroit (city, village,...), Michigan, United States",1915,,,,JPEG,English,Image,1d9332f2-9e5b-47c6-bf53-2607e3bbb0b3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d9332f2-9e5b-47c6-bf53-2607e3bbb0b3,,,"Image",,"-83.14361,42.27472,-82.9244,42.415",,"42.34486,-83.034005",,,,https://lib.msu.edu/branches/map/MSU-Scanned/Michigan/843-d-1915-Detroit300/,https://archive.lib.msu.edu/maps/public/images/843-d-1915-Detroit-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/843-d-1915-Detroit300.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Pine Grove Township",,Public,"Michigan State","Michigan State University Map Library",,"5013104: Van Buren County (country, state, region,...), Michigan, United States",1906,,"Orton, M. K.",,JPEG,English,Image,1d02ff92-3d3a-41ed-89dd-473d7ef8c22f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d02ff92-3d3a-41ed-89dd-473d7ef8c22f,,,"Image",,"-85.879614,42.331714,-85.764339,42.420699",,"42.3762065,-85.8219765",,,,https://lib.msu.edu/branches/map/MiJPEGs/34_g1413v3k3_1895_l/,https://archive.lib.msu.edu/maps/public/images/34_g1413v3k3_1895_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/34_g1413v3k3_1895_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
Afrique,,Public,"Michigan State","Michigan State University Map Library",,"6255146: Africa (parks,area, ...)",1885,,,,JPEG,French,Image,1ba0c4e3-56b1-40a7-ba72-2957fee8300b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ba0c4e3-56b1-40a7-ba72-2957fee8300b,,,"Image",,"-18.6,-35.3,52.3,37.19",,"0.945,16.85",,,,https://lib.msu.edu/branches/map/MSU-Scanned/Africa/728a-b_ae25g7v1_l/,https://archive.lib.msu.edu/maps/public/images/728a-b_ae25g7v1_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Africa/728a-b_ae25g7v1_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"South part of Mason, Vevay Twp",,Public,"Michigan State","Michigan State University Map Library",,"5001093: Mason (city, village,...), Michigan, United States",1874,,,,JPEG,English,Image,1b5402b0-9b87-4e2f-8072-2ec32f22fd83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1b5402b0-9b87-4e2f-8072-2ec32f22fd83,,,"Image",,"-84.455049553,42.5702407886,-84.436467209,42.5804167501",,"42.57532876935,-84.445758381",,,,https://lib.msu.edu/branches/maps/MSU-Scanned/Michigan/843-d-A-1874-Mason-south,https://archive.lib.msu.edu/maps/public/images/843-d-A-1874-Mason-south-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/843-d-A-1874-mason-south.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Michigan, Region about Mackinac and Detroit [Plate CXXXIX]","Michigan, Region about Mackinac and Detroit (Plate CXXXIX)",Public,"Michigan State","Michigan State University Map Library","Tourist maps","5001836: Michigan (country, state, region,...), Michigan, United States",1899,,"Royce, Charles and Cyrus Thomas",,JPEG,English,Image,1ad70f4e-950d-499a-a224-bb51c68f123f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ad70f4e-950d-499a-a224-bb51c68f123f,,,"Image",,"-84.82,41.7,-82.12,46.78",,"44.24,-83.47",,,,https://lib.msu.edu/branches/maps/MSU-Scanned/Michigan/e51u55v18-Mackinac,https://archive.lib.msu.edu/maps/public/images/e51u55v18bureau-Mackinac-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/e51u55v18-Mackinac.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"North part of Mason, Vevay Twp",,Public,"Michigan State","Michigan State University Map Library",,"5001093: Mason (city, village,...), Michigan, United States",1874,,,,JPEG,English,Image,197938c4-9f57-40da-a35f-576f58abc35b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197938c4-9f57-40da-a35f-576f58abc35b,,,"Image",,"-84.455049553,42.5775569038,-84.436467209,42.5862782349",,"42.58191756935,-84.445758381",,,,https://lib.msu.edu/branches/maps/MSU-Scanned/Michigan/843-d-A-1874-Mason-north,https://archive.lib.msu.edu/maps/public/images/843-d-A-1874-mason-north-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/843-d-A-1874-mason-north.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Hartford Township",,Public,"Michigan State","Michigan State University Map Library",,"5013104: Van Buren County (country, state, region,...), Michigan, United States",1906,,"Orton, M. K.",,JPEG,English,Image,157bd26a-61ff-49f4-89bc-7c400a79a98c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157bd26a-61ff-49f4-89bc-7c400a79a98c,,,"Image",,"-86.223563,42.156888,-86.108237,42.243989",,"42.2004385,-86.1659",,,,https://lib.msu.edu/branches/map/MiJPEGs/24_g1413v3k3_1895_l/,https://archive.lib.msu.edu/maps/public/images/24_g1413v3k3_1895_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/24_g1413v3k3_1895_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Covert Township",,Public,"Michigan State","Michigan State University Map Library",,"5013104: Van Buren County (country, state, region,...), Michigan, United States",1906,,"Orton, M. K.",,JPEG,English,Image,14312b3b-89ad-4cba-aec0-39ec0b9a4cd1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14312b3b-89ad-4cba-aec0-39ec0b9a4cd1,,,"Image",,"-86.364599,42.242986,-86.223529,42.331459",,"42.2872225,-86.294064",,,,https://lib.msu.edu/branches/map/MiJPEGs/18_g1413v3k3_1895_l/,https://archive.lib.msu.edu/maps/public/images/18_g1413v3k3_1895_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/18_g1413v3k3_1895_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"A Map of the Old World as it Appeared before God Destroy'd it wth the Waters of the Flood",,Public,"Michigan State","Michigan State University Map Library",,"6295630: World (parks,area, ...)",-2348,,,,JPEG,English,Image,13b126e1-c3ad-4ba9-ac03-abdb642151d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13b126e1-c3ad-4ba9-ac03-abdb642151d5,,,"Image",,"-180,-90,180,90",,"0,0",,,,https://lib.msu.edu/branches/map/scanned/World/050-B-2348BC-1736-400,https://archive.lib.msu.edu/maps/public/images/050-B-2348BC-1736-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Magazines/050-B-2348BC-1736-400.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"No. V: Map of the City of Washington Showing Location of Fatal Cases of Consumption [tuberculosis], for the Year Ended June 30, 1901.",,Public,"Michigan State","Michigan State University Map Library",,"4138106: District Of Columbia (country, state, region,...), District Of Columbia, United States",1901,,,,JPEG,English,Image,0f121b2c-e2fa-426a-a150-612da8ac4f39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0f121b2c-e2fa-426a-a150-612da8ac4f39,,,"Image",,"-77.119759,38.791645,-76.909393,38.995548",,"38.8935965,-77.014576",,,,https://lib.msu.edu/branches/maps/MSU-Scanned/UnitedStates/822-C-1901-consumption,https://archive.lib.msu.edu/maps/public/images/882-C-1901-consumption-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/UnitedStates/822-C-1901-consumption.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Map of the Black Lead Mines &c in Cumberland",,Public,"Michigan State","Michigan State University Map Library",,"2635167: Great Britain (country, state, region,...), United Kingdom",1751,,,,JPEG,English,Image,0a002c83-1093-498a-81fd-dbae1a11c62f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0a002c83-1093-498a-81fd-dbae1a11c62f,,,"Image",,"3.4247,54.4738,3.0925,54.6975",,"54.58565,3.2586",,,,https://lib.msu.edu/branches/map/scanned/Europe/621-c-A-1751-400/,https://archive.lib.msu.edu/maps/public/images/621-c-A-1751-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Magazines/621-c-A-1751-400.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Физическая  Карта Африки [Physical Map of Africa]",,Public,"Michigan State","Michigan State University Map Library",,"6255146: Africa (parks,area, ...)",1890,,,,JPEG,Russian,Image,06e7f566-852a-4914-929d-1bef38132eba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06e7f566-852a-4914-929d-1bef38132eba,,,"Image",,"-18.6,-35.3,52.3,37.17",,"0.935000000000002,16.85",,,,https://lib.msu.edu/branches/map/AfJPEGs/494a-b_ae55e6v2_l/,https://archive.lib.msu.edu/maps/public/images/494a-b_ae55e6v2_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Africa/494a-b_ae55e6v2_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"San Francisco and vicinity [back]",,Public,"Michigan State","Michigan State University Map Library",,"5391959: San Fransisco (city, village,...), California, United States",1914,,,,JPEG,English,Image,031398fc-8029-4473-a202-6c43a26c7602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,031398fc-8029-4473-a202-6c43a26c7602,,,"Image",,"-122.51,37.68,-122.35,37.8001",,"37.74005,-122.43",,,,https://lib.msu.edu/branches/maps/MSU-Scanned/UnitedStates/813-d-1914-back,https://archive.lib.msu.edu/maps/public/images/813-d-1914-front-300dpi-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/UnitedStates/813-d-1914-back-300dpi.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Map of the town of Michigan :(comprising section sixteen and portions of nine and twenty one) in the county of Ingham /surveyed by T. McCracken.","Cadastral map. Oriented with north to the right. Includes area map.: Original version published NY [New York] : Miller's Lith., [1847]; Scale 1:3,960. 330 ft. to 1 in.",Public,"Michigan State","Michigan State University Map Library","Cadastral maps","4998830: Lansing (city, village,...), Michigan, United States",1847,,"McCracken, T.,surveyor.",,JPEG,English,Image,ecd1fb91-5455-4583-8d8e-72c92f6c6ae4,,,"Print version:McCracken, T.Map of the town of Michigan(OCoLC)35067086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,ecd1fb91-5455-4583-8d8e-72c92f6c6ae4,,,"Image",,"-84.5501,42.71,-84.53,42.75",,"42.73,-84.54005",,,1847,http://www.lib.msu.edu//branches/maps/MSU-Scanned/Michigan/843-d-E-1847,https://archive.lib.msu.edu/maps/public/images/843-d-E-1847-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/843-d-E-1847.jpg,,,,,,Published,"06d-01 Michigan State University Map Library",0,0
